metric,value
down_maximum_absolute_m,0.12038639189842248
down_mean_m,-0.00028764795715317137
down_rmse_m,0.008986043143161832
duration_s,3361.98199999996
east_maximum_absolute_m,0.035586571035992165
east_mean_m,0.00034982971444762873
east_rmse_m,0.008533479569687323
end_time_s,459661.996
north_maximum_absolute_m,0.03767242039214125
north_mean_m,-3.207046190572642e-05
north_rmse_m,0.008889151034403735
position_maximum_3d_m,0.12350314578100087
position_mean_3d_m,0.013282470155016058
position_median_3d_m,0.012329314941504048
position_p95_3d_m,0.026219760023720933
position_rmse_3d_m,0.015250778703052506
sample_count,672959
start_time_s,456300.014
