scenario_id,profile,drift_span_ms,static_offset_ms,dropout_fraction,drift_profile_seed,repeat_count
static-neg10-drop00,static-control,0.0,-10.0,0.00,,2
static-zero-drop00,static-control,0.0,0.0,0.00,,2
static-pos10-drop00,static-control,0.0,10.0,0.00,,2
static-neg10-drop10,static-control,0.0,-10.0,0.10,,2
static-zero-drop10,static-control,0.0,0.0,0.10,,2
static-pos10-drop10,static-control,0.0,10.0,0.10,,2
linearpositive-span05-drop00,linear-positive,5.0,0.0,0.00,,2
linearpositive-span10-drop00,linear-positive,10.0,0.0,0.00,,2
linearpositive-span20-drop00,linear-positive,20.0,0.0,0.00,,2
linearnegative-span05-drop00,linear-negative,5.0,0.0,0.00,,2
linearnegative-span10-drop00,linear-negative,10.0,0.0,0.00,,2
linearnegative-span20-drop00,linear-negative,20.0,0.0,0.00,,2
sinusoidalslow-span05-drop00,sinusoidal-slow,5.0,0.0,0.00,,2
sinusoidalslow-span10-drop00,sinusoidal-slow,10.0,0.0,0.00,,2
sinusoidalslow-span20-drop00,sinusoidal-slow,20.0,0.0,0.00,,2
piecewiserandomwalk-span05-drop00,piecewise-random-walk,5.0,0.0,0.00,20260802,2
piecewiserandomwalk-span10-drop00,piecewise-random-walk,10.0,0.0,0.00,20260802,2
piecewiserandomwalk-span20-drop00,piecewise-random-walk,20.0,0.0,0.00,20260802,2
linearpositive-span05-drop10,linear-positive,5.0,0.0,0.10,,2
linearpositive-span10-drop10,linear-positive,10.0,0.0,0.10,,2
linearpositive-span20-drop10,linear-positive,20.0,0.0,0.10,,2
linearnegative-span05-drop10,linear-negative,5.0,0.0,0.10,,2
linearnegative-span10-drop10,linear-negative,10.0,0.0,0.10,,2
linearnegative-span20-drop10,linear-negative,20.0,0.0,0.10,,2
sinusoidalslow-span05-drop10,sinusoidal-slow,5.0,0.0,0.10,,2
sinusoidalslow-span10-drop10,sinusoidal-slow,10.0,0.0,0.10,,2
sinusoidalslow-span20-drop10,sinusoidal-slow,20.0,0.0,0.10,,2
piecewiserandomwalk-span05-drop10,piecewise-random-walk,5.0,0.0,0.10,20260802,2
piecewiserandomwalk-span10-drop10,piecewise-random-walk,10.0,0.0,0.10,20260802,2
piecewiserandomwalk-span20-drop10,piecewise-random-walk,20.0,0.0,0.10,20260802,2
