scenario,white_noise_scale,random_walk_scale,sample_count,position_rmse_m,position_mean_m,position_p95_m,position_max_m,rmse_ratio,availability_0_1m,availability_0_5m,availability_1m,sustained_failure_onset_s,position_nees_mean,position_nees_median,position_nees_p95,position_nees_95_coverage,covariance_trace_mean_m2,gyroscope_delta_rms_radps,accelerometer_delta_rms_mps2
baseline,1,1,2921,0.0454106442716,0.0394159028588,0.0810144227794,0.107145187588,1,0.987333105101,1,1,,0.373272351708,0.373692721464,0.854524038674,1,0.151747974393,0,0
white-2x,2,1,2921,0.0509230055921,0.0433509931058,0.0987513116264,0.126100216793,1.12138918989,0.958575830195,1,1,,0.482413033488,0.409078231548,1.44874747837,1,0.151838100182,0.00339258715635,0.0400672106228
white-5x,5,1,2921,0.089337186395,0.078578638264,0.166587302408,0.215420282407,1.9673181878,0.761725436494,1,1,,1.51615687219,1.27235581675,4.40785416908,0.999657651489,0.151794701239,0.0135703486254,0.160268842491
white-10x,10,1,2921,0.189349310836,0.164908029006,0.389050376463,0.582829226729,4.1697120548,0.204039712427,0.996918863403,1,,5.81211263733,4.31792561288,16.1951170639,0.757959602876,0.152000357132,0.0305332844072,0.360604895606
randomwalk-2x,1,2,2921,0.0419342000777,0.0369845770081,0.0662986846766,0.0828579798247,0.923444288236,1,1,1,,0.43708968073,0.359209035377,1.10974415846,1,0.15169629048,0.000122263453462,0.0285946791203
randomwalk-5x,1,5,2921,0.0729829782079,0.0652687894239,0.118994302483,0.140495851463,1.60717777469,0.826771653543,1,1,,0.98678491396,0.585199435569,3.34612051633,1,0.151599600825,0.00048905381385,0.114378716481
randomwalk-10x,1,10,2921,0.180769832394,0.157241583199,0.29602803127,0.324372524206,3.9807810546,0.373159876755,1,1,,4.74450294742,3.01772045688,12.332707378,0.730914070524,0.151487146224,0.00110037108116,0.257352112083
all-2x,2,2,2921,0.0363801314188,0.0339290813713,0.0542558412441,0.0850588613022,0.801136649839,1,1,1,,0.396535830684,0.36708216979,0.927093190221,1,0.15181539244,0.00339516580764,0.0492020384427
all-5x,5,5,2921,0.0900250337094,0.0798808808059,0.144981417821,0.192510075623,1.98246545834,0.645669291339,1,1,,1.9782601908,1.48016844689,5.30155709295,0.998288257446,0.151516185377,0.0135806632306,0.196808153771
all-10x,10,10,2921,0.205066749312,0.188114558178,0.321369411909,0.408306669399,4.515829991,0.136597055803,1,1,,10.3509442542,6.54350347459,30.7022862891,0.543307086614,0.151409244976,0.0305564922688,0.442818345984
