scenario_id,profile,drift_span_ms,dropout_fraction,label
static-neg10-drop00,static-control,0.0,0.0,static-negative
static-zero-drop00,static-control,0.0,0.0,static-negative
static-pos10-drop00,static-control,0.0,0.0,static-negative
static-neg10-drop10,static-control,0.0,0.1,static-negative
static-zero-drop10,static-control,0.0,0.1,static-negative
static-pos10-drop10,static-control,0.0,0.1,static-negative
linearpositive-span05-drop00,linear-positive,5.0,0.0,dynamic-secondary
linearpositive-span10-drop00,linear-positive,10.0,0.0,dynamic-secondary
linearpositive-span20-drop00,linear-positive,20.0,0.0,dynamic-secondary
linearnegative-span05-drop00,linear-negative,5.0,0.0,dynamic-secondary
linearnegative-span10-drop00,linear-negative,10.0,0.0,dynamic-secondary
linearnegative-span20-drop00,linear-negative,20.0,0.0,dynamic-secondary
sinusoidalslow-span05-drop00,sinusoidal-slow,5.0,0.0,early-warning-positive
sinusoidalslow-span10-drop00,sinusoidal-slow,10.0,0.0,dynamic-secondary
sinusoidalslow-span20-drop00,sinusoidal-slow,20.0,0.0,dynamic-secondary
piecewiserandomwalk-span05-drop00,piecewise-random-walk,5.0,0.0,dynamic-secondary
piecewiserandomwalk-span10-drop00,piecewise-random-walk,10.0,0.0,dynamic-secondary
piecewiserandomwalk-span20-drop00,piecewise-random-walk,20.0,0.0,dynamic-secondary
linearpositive-span05-drop10,linear-positive,5.0,0.1,dynamic-secondary
linearpositive-span10-drop10,linear-positive,10.0,0.1,dynamic-secondary
linearpositive-span20-drop10,linear-positive,20.0,0.1,dynamic-secondary
linearnegative-span05-drop10,linear-negative,5.0,0.1,dynamic-secondary
linearnegative-span10-drop10,linear-negative,10.0,0.1,dynamic-secondary
linearnegative-span20-drop10,linear-negative,20.0,0.1,dynamic-secondary
sinusoidalslow-span05-drop10,sinusoidal-slow,5.0,0.1,early-warning-positive
sinusoidalslow-span10-drop10,sinusoidal-slow,10.0,0.1,dynamic-secondary
sinusoidalslow-span20-drop10,sinusoidal-slow,20.0,0.1,dynamic-secondary
piecewiserandomwalk-span05-drop10,piecewise-random-walk,5.0,0.1,dynamic-secondary
piecewiserandomwalk-span10-drop10,piecewise-random-walk,10.0,0.1,dynamic-secondary
piecewiserandomwalk-span20-drop10,piecewise-random-walk,20.0,0.1,dynamic-secondary
