scenario,offset_ms,requested_dropout_fraction,realized_dropout_fraction,degraded_frames,position_rmse_m,position_rmse_ratio_to_baseline,local_max_rmse_m,local_rmse_ratio_to_baseline,final_abs_residual_ms,tail_residual_rmse_ms,convergence_time_s,one_metre_availability,sustained_failure_onset_s
neg20-drop00,-20,0,0,0,0.0683890210646,1.50601300998,0.123065729234,1.20664602098,0.00542454560411,0.00801542179767,0.499999523163,1,
neg20-drop10,-20,0.1,0.0961999315303,281,0.125978786947,2.77421271968,0.222607454833,2.18264175807,0.010093816089,0.0131800726352,0.799999237061,1,
neg20-drop30,-20,0.3,0.294419719274,860,0.174838604801,3.85016789798,0.367736832886,3.60561944362,0.000129935842155,0.00340837282449,1.29999876022,1,
neg20-drop50,-20,0.5,0.505306401917,1476,0.217839630455,4.7971050389,0.371913641728,3.64657259769,0.00962675153649,0.0101978391657,2.89999723434,1,
zero-drop00,0,0,0,0,0.0454106442716,1,0.101989918414,1,0.00413838456686,0.00660053064065,0.499999523163,1,
zero-drop10,0,0.1,0.0961999315303,281,0.0643537902081,1.41715210697,0.0964687005755,0.945865062702,0.00159905570266,0.00401969277396,0.799999237061,1,
zero-drop30,0,0.3,0.294419719274,860,0.16914412845,3.72476830407,0.373356828128,3.66072288256,0.0002457026739,0.0030394024951,0.799999237061,1,
zero-drop50,0,0.5,0.505306401917,1476,0.185308477949,4.08072778798,0.36309494747,3.56010626458,0.00884405559624,0.00932388869872,2.69999742508,1,
pos20-drop00,20,0,0,0,0.0729611062388,1.60669612619,0.138253443601,1.35555989995,0.00745671269925,0.0101468336912,0.39999961853,1,
pos20-drop10,20,0.1,0.0961999315303,281,0.150349546597,3.3108877667,0.23837821779,2.33727236473,0.00575058925642,0.00866835099469,0.39999961853,1,
pos20-drop30,20,0.3,0.294419719274,860,0.204895644977,4.51206205645,0.385236978425,3.77720645743,4.51068960725e-05,0.00327695780309,1.39999866486,1,
pos20-drop50,20,0.5,0.505306401917,1476,0.227096139789,5.0009451183,0.362124845421,3.55059452006,0.00865017129685,0.00916750179906,2.69999742508,1,
