physical_scenario_id,seed,offset_ms,dropout_fraction,repeat_count,purpose
s20260801-neg20-drop00,20260801,-20.0,0.00,2,canonical-factorial-deterministic-replay
s20260801-neg20-drop05,20260801,-20.0,0.05,2,canonical-factorial-deterministic-replay
s20260801-neg20-drop10,20260801,-20.0,0.10,2,canonical-factorial-deterministic-replay
s20260801-neg20-drop15,20260801,-20.0,0.15,2,canonical-factorial-deterministic-replay
s20260801-neg20-drop20,20260801,-20.0,0.20,2,canonical-factorial-deterministic-replay
s20260801-neg10-drop00,20260801,-10.0,0.00,2,canonical-factorial-deterministic-replay
s20260801-neg10-drop05,20260801,-10.0,0.05,2,canonical-factorial-deterministic-replay
s20260801-neg10-drop10,20260801,-10.0,0.10,2,canonical-factorial-deterministic-replay
s20260801-neg10-drop15,20260801,-10.0,0.15,2,canonical-factorial-deterministic-replay
s20260801-neg10-drop20,20260801,-10.0,0.20,2,canonical-factorial-deterministic-replay
s20260801-zero-drop00,20260801,0.0,0.00,2,canonical-factorial-deterministic-replay
s20260801-zero-drop05,20260801,0.0,0.05,2,canonical-factorial-deterministic-replay
s20260801-zero-drop10,20260801,0.0,0.10,2,canonical-factorial-deterministic-replay
s20260801-zero-drop15,20260801,0.0,0.15,2,canonical-factorial-deterministic-replay
s20260801-zero-drop20,20260801,0.0,0.20,2,canonical-factorial-deterministic-replay
s20260801-pos10-drop00,20260801,10.0,0.00,2,canonical-factorial-deterministic-replay
s20260801-pos10-drop05,20260801,10.0,0.05,2,canonical-factorial-deterministic-replay
s20260801-pos10-drop10,20260801,10.0,0.10,2,canonical-factorial-deterministic-replay
s20260801-pos10-drop15,20260801,10.0,0.15,2,canonical-factorial-deterministic-replay
s20260801-pos10-drop20,20260801,10.0,0.20,2,canonical-factorial-deterministic-replay
s20260801-pos20-drop00,20260801,20.0,0.00,2,canonical-factorial-deterministic-replay
s20260801-pos20-drop05,20260801,20.0,0.05,2,canonical-factorial-deterministic-replay
s20260801-pos20-drop10,20260801,20.0,0.10,2,canonical-factorial-deterministic-replay
s20260801-pos20-drop15,20260801,20.0,0.15,2,canonical-factorial-deterministic-replay
