physical_scenario_id,seed,offset_ms,requested_dropout_fraction,realized_dropout_fraction,degraded_frames,position_rmse_m,local_max_rmse_m,convergence_time_s,final_abs_residual_ms,tail_residual_rmse_ms,one_metre_availability,sustained_failure_onset_s
s20260801-neg20-drop00,20260801,-20,0,0,0,0.0683890210646,0.123065729234,0.499999523163,0.00542454560411,0.00801542179767,1,
s20260801-neg20-drop05,20260801,-20,0.05,0.047586442999,139,0.0671760569504,0.110127434443,0.499999523163,0.000356647964706,0.00297489654186,1,
s20260801-neg20-drop10,20260801,-20,0.1,0.0961999315303,281,0.125978786947,0.222607454833,0.799999237061,0.010093816089,0.0131800726352,1,
s20260801-neg20-drop15,20260801,-20,0.15,0.14412872304,421,0.0453022045704,0.0733989069583,1.39999866486,0.00296591679725,0.00250024507137,1,
s20260801-neg20-drop20,20260801,-20,0.2,0.192399863061,562,0.0693030945313,0.115076124866,1.29999876022,0.00234330705918,0.00417845736044,1,
s20260801-neg10-drop00,20260801,-10,0,0,0,0.032616027195,0.060222746024,0.599999427795,0.00515857610492,0.00793434450921,1,
s20260801-neg10-drop05,20260801,-10,0.05,0.047586442999,139,0.044755116991,0.0640052627324,0.599999427795,0.00689030205957,0.00899206350445,1,
s20260801-neg10-drop10,20260801,-10,0.1,0.0961999315303,281,0.098681958996,0.141699432919,0.799999237061,0.00769702904957,0.00996919171856,1,
s20260801-neg10-drop15,20260801,-10,0.15,0.14412872304,421,0.0942420203761,0.212008670436,0.899999141693,0.00742640936526,0.00479023299488,1,
s20260801-neg10-drop20,20260801,-10,0.2,0.192399863061,562,0.0631923322189,0.105479658083,0.899999141693,0.001815904604,0.00367419339931,1,
s20260801-zero-drop00,20260801,0,0,0,0,0.0454106442716,0.101989918414,0.499999523163,0.00413838456686,0.00660053064065,1,
s20260801-zero-drop05,20260801,0,0.05,0.047586442999,139,0.0543303464267,0.0838927137184,0.499999523163,0.00433220203959,0.00693693524606,1,
s20260801-zero-drop10,20260801,0,0.1,0.0961999315303,281,0.0643537902081,0.0964687005755,0.799999237061,0.00159905570266,0.00401969277396,1,
s20260801-zero-drop15,20260801,0,0.15,0.14412872304,421,0.093895435429,0.21158650716,0.799999237061,0.00766419802421,0.00497653391807,1,
s20260801-zero-drop20,20260801,0,0.2,0.192399863061,562,0.0579277216044,0.096061331677,0.799999237061,0.00190696098505,0.00200357676588,1,
s20260801-pos10-drop00,20260801,10,0,0,0,0.0479672031044,0.109004214265,0.499999523163,0.00600926763214,0.00853906417501,1,
s20260801-pos10-drop05,20260801,10,0.05,0.047586442999,139,0.0361504176863,0.0544938495189,0.499999523163,0.00745701353952,0.00952916269939,1,
s20260801-pos10-drop10,20260801,10,0.1,0.0961999315303,281,0.0950266544665,0.145529067497,0.799999237061,0.00428483475567,0.00762954299449,1,
s20260801-pos10-drop15,20260801,10,0.15,0.14412872304,421,0.0988354285028,0.256546669461,1.39999866486,0.000288014483631,0.00292783695796,1,
s20260801-pos10-drop20,20260801,10,0.2,0.192399863061,562,0.0614851558616,0.104255013319,1.29999876022,0.0015170943527,0.00212664134851,1,
s20260801-pos20-drop00,20260801,20,0,0,0,0.0729611062388,0.138253443601,0.39999961853,0.00745671269925,0.0101468336912,1,
s20260801-pos20-drop05,20260801,20,0.05,0.047586442999,139,0.0851860945219,0.143256356995,0.39999961853,0.00423446773645,0.00717691075738,1,
s20260801-pos20-drop10,20260801,20,0.1,0.0961999315303,281,0.150349546597,0.23837821779,0.39999961853,0.00575058925642,0.00866835099469,1,
s20260801-pos20-drop15,20260801,20,0.15,0.14412872304,421,0.0935501005255,0.186370813044,1.49999856949,0.00271314578339,0.00256737590161,1,
s20260801-pos20-drop20,20260801,20,0.2,0.192399863061,562,0.108575069048,0.19495815242,1.39999866486,0.000988270092397,0.00243019864523,1,
s20260802-neg20-drop05,20260802,-20,0.05,0.050667579596,148,0.11270880109,0.220799056015,0.499999523163,0.0033926325771,0.00585886534223,1,
s20260802-neg20-drop10,20260802,-20,0.1,0.0999657651489,292,0.136921132607,0.251897874292,0.499999523163,0.000533160357714,0.0023468397384,1,
s20260802-neg20-drop15,20260802,-20,0.15,0.150290996234,439,0.134294537718,0.244024976798,0.499999523163,0.00513115237117,0.00747310963138,1,
s20260802-neg20-drop20,20260802,-20,0.2,0.196165696679,573,0.134482060609,0.260310700694,0.499999523163,0.011216287539,0.0130721552563,1,
s20260802-neg10-drop05,20260802,-10,0.05,0.050667579596,148,0.122248011523,0.235627001764,0.599999427795,0.00557746239182,0.00798326184318,1,
s20260802-neg10-drop10,20260802,-10,0.1,0.0999657651489,292,0.118127398985,0.215867888059,0.599999427795,0.00063319010783,0.00257102660023,1,
s20260802-neg10-drop15,20260802,-10,0.15,0.150290996234,439,0.107030092467,0.222138771948,0.599999427795,0.00489675898427,0.00723068805444,1,
s20260802-neg10-drop20,20260802,-10,0.2,0.196165696679,573,0.0989992849199,0.180598604244,0.599999427795,0.00803015920912,0.0106590641168,1,
s20260802-zero-drop05,20260802,0,0.05,0.050667579596,148,0.115501731058,0.221377016388,0.499999523163,0.00556466453414,0.00797833171009,1,
s20260802-zero-drop10,20260802,0,0.1,0.0999657651489,292,0.113959920838,0.216021137073,0.499999523163,0.00063586490212,0.00256793125178,1,
s20260802-zero-drop15,20260802,0,0.15,0.150290996234,439,0.104684024348,0.22318014629,0.499999523163,0.00487346895952,0.00720582291229,1,
s20260802-zero-drop20,20260802,0,0.2,0.196165696679,573,0.0954315534109,0.17920663492,0.499999523163,0.00804967665647,0.0106872945497,1,
s20260802-pos10-drop05,20260802,10,0.05,0.050667579596,148,0.0975399939222,0.178782395177,0.499999523163,0.00497078656003,0.00650310718043,1,
s20260802-pos10-drop10,20260802,10,0.1,0.0999657651489,292,0.0660369219647,0.131173019259,0.499999523163,0.00107957557156,0.0027994080144,1,
s20260802-pos10-drop15,20260802,10,0.15,0.150290996234,439,0.127462045903,0.28999508971,0.499999523163,0.0116646905521,0.0135563828155,1,
s20260802-pos10-drop20,20260802,10,0.2,0.196165696679,573,0.188122645261,0.381178179313,0.499999523163,0.00529596423281,0.00839205733114,1,
s20260802-pos20-drop05,20260802,20,0.05,0.050667579596,148,0.125153145121,0.233873695068,0.39999961853,0.00117780856862,0.00209073562256,1,
s20260802-pos20-drop10,20260802,20,0.1,0.0999657651489,292,0.109592953588,0.179944282537,0.39999961853,0.00607391671539,0.00737872781151,1,
s20260802-pos20-drop15,20260802,20,0.15,0.150290996234,439,0.161707986435,0.29485221601,0.39999961853,0.00019846863919,0.00297297549889,1,
s20260802-pos20-drop20,20260802,20,0.2,0.196165696679,573,0.24566497016,0.448157930515,0.39999961853,0.00447643448797,0.00569971360143,1,
s20260803-neg20-drop05,20260803,-20,0.05,0.0472440944882,138,0.039652648909,0.0694615691867,0.499999523163,0.000995875104576,0.00259949374703,1,
s20260803-neg20-drop10,20260803,-20,0.1,0.0972269770626,284,0.108745935295,0.185208007627,0.499999523163,0.00590912564807,0.00379336044986,1,
s20260803-neg20-drop15,20260803,-20,0.15,0.143444026018,419,0.0771251139094,0.119367680532,0.499999523163,0.0048310018877,0.00655411742343,1,
s20260803-neg20-drop20,20260803,-20,0.2,0.202670318384,592,0.0799573901579,0.126323133457,0.499999523163,0.00900736650739,0.00768474163231,1,
s20260803-neg10-drop05,20260803,-10,0.05,0.0472440944882,138,0.0412076096836,0.0674122448685,0.599999427795,0.00287313539264,0.00621206522062,1,
s20260803-neg10-drop10,20260803,-10,0.1,0.0972269770626,284,0.089562286956,0.194252074981,0.599999427795,0.00605425853319,0.00391864787921,1,
s20260803-neg10-drop15,20260803,-10,0.15,0.143444026018,419,0.068348318883,0.138376407227,0.599999427795,0.00474233689026,0.00582173079978,1,
s20260803-neg10-drop20,20260803,-10,0.2,0.202670318384,592,0.0507382516713,0.0880684850233,0.599999427795,0.00936992460432,0.00807736484266,1,
s20260803-zero-drop05,20260803,0,0.05,0.0472440944882,138,0.0372675276813,0.0562044516882,0.499999523163,0.00285279514278,0.00619459234947,1,
s20260803-zero-drop10,20260803,0,0.1,0.0972269770626,284,0.0869373970223,0.195543073499,0.499999523163,0.00602978636153,0.00389640467461,1,
s20260803-zero-drop15,20260803,0,0.15,0.143444026018,419,0.0691344487936,0.139537474961,0.499999523163,0.00476773917101,0.00585158988345,1,
s20260803-zero-drop20,20260803,0,0.2,0.202670318384,592,0.0480647729673,0.0835377678158,0.499999523163,0.0097041405423,0.00843823251892,1,
s20260803-pos10-drop05,20260803,10,0.05,0.0472440944882,138,0.0446439567621,0.101985184001,0.499999523163,0.00439014975554,0.00719382555178,1,
s20260803-pos10-drop10,20260803,10,0.1,0.0972269770626,284,0.0532766381386,0.0896055768653,0.499999523163,0.00777513149092,0.00570493120753,1,
s20260803-pos10-drop15,20260803,10,0.15,0.143444026018,419,0.0792480115926,0.120020905167,0.499999523163,0.000914082014494,0.00286963742657,1,
s20260803-pos10-drop20,20260803,10,0.2,0.202670318384,592,0.0947060956798,0.149606167579,0.499999523163,0.00284325957597,0.00473365150775,1,
s20260803-pos20-drop05,20260803,20,0.05,0.0472440944882,138,0.0606693113874,0.108549086073,0.39999961853,0.000517884283568,0.0031428874261,1,
s20260803-pos20-drop10,20260803,20,0.1,0.0972269770626,284,0.0900276483984,0.14640961372,0.39999961853,0.00292793850446,0.00229307808231,1,
s20260803-pos20-drop15,20260803,20,0.15,0.143444026018,419,0.108910384403,0.170098024773,0.39999961853,0.00241101650975,0.00444430853953,1,
s20260803-pos20-drop20,20260803,20,0.2,0.202670318384,592,0.136307019631,0.225551147906,0.39999961853,0.00348224811151,0.00538835448893,1,
s20260804-neg20-drop05,20260804,-20,0.05,0.0544334132147,159,0.0560983275101,0.104400531549,0.499999523163,0.01062284894,0.0117803880017,1,
s20260804-neg20-drop10,20260804,-20,0.1,0.0996234166381,291,0.0639097091905,0.0932693616806,0.499999523163,0.00336296709071,0.0054931560236,1,
s20260804-neg20-drop15,20260804,-20,0.15,0.150975693256,441,0.182675311492,0.339656906929,2.69999742508,0.00075905538087,0.0024051265245,1,
